tract,Name,Household_Income_rP_gP_p25
27053026816,"Minneapolis, MN",37861
27163071001,"Woodbury, MN",37714
27053020903,"Forest, Crystal, MN",37641
27053103700,"Saint Anthony Main, Minneapolis, MN",37590
27053024004,"Minneapolis, MN",37589
27053026505,"Minneapolis, MN",37459
27053021002,"Valley Place, Minneapolis, MN",37419
27123040200,"White Bear Lake, MN",37335
27053020500,"Brooklyn Center, MN",37323
27123037000,"Baker - Annapolis, Saint Paul, MN",37304
27123042501,"Maplewood, MN",37241
27053021505,"Minneapolis, MN",37119
27053109100,"Southwest Minneapolis, Minneapolis, MN",36962
27053024600,"Minneapolis, MN",36951
27053023300,"Hopkins, MN",36923
27123030702,"Greater East Side, Saint Paul, MN",36919
27053027501,"Excelsior, MN",36887
27123036000,"West Seventh, Saint Paul, MN",36858
27037060302,"South Saint Paul, MN",36676
27163070912,"Oakdale, MN",36567
27037060505,"Inver Grove Heights, MN",36520
27003051202,"Fridley, MN",36459
27123042202,"Saint Paul, MN",36457
27123041601,"Roseville, MN",36442
27053021100,"Robbinsdale, MN",36360
27123030602,"Payne - Phalen, Saint Paul, MN",36356
27053105600,"Central Minneapolis, Minneapolis, MN",36300
27053026007,"Eden Prairie, MN",36288
27123030704,"Greater East Side, Saint Paul, MN",36272
27053021700,"Golden Valley, MN",36250
27053027504,"Excelsior, MN",36239
27053011998,"Minnehaha, Minneapolis, MN",36235
27123037403,"Highwood, Saint Paul, MN",36197
27123030500,"North End, Saint Paul, MN",36141
27123041602,"Roseville, MN",36104
27003051302,"Columbia Heights, MN",36088
27053022902,"Browndale, Minneapolis, MN",35991
27123037402,"Battle Creek, Saint Paul, MN",35960
27053122500,"Oak Hill, Saint Louis Park, MN",35950
27053024200,"Minneapolis, MN",35870
27053026511,"Plymouth, MN",35864
27053025403,"East Bloomington, Minneapolis, MN",35842
27003051502,"Minneapolis, MN",35841
27037060725,"Eagan, MN",35839
27053010700,"Southwest Minneapolis, Minneapolis, MN",35774
27053022102,"Willow Park, Saint Louis Park, MN",35773
27123040901,"Mounds View, MN",35671
27003051304,"Columbia Heights, MN",35667
27053022802,"Fern Hill, Minneapolis, MN",35651
27053022400,"Bronx Park, Saint Louis Park, MN",35578
27123030703,"Greater East Side, Saint Paul, MN",35546
27003051501,"Columbia Heights, MN",35515
27053100500,"Northeast Minneapolis, Minneapolis, MN",35502
27123031802,"Greater East Side, Saint Paul, MN",35435
27123034201,"Core, Saint Paul, MN",35421
27123042602,"North Saint Paul, MN",35365
27123030100,"St. Anthony Park, Saint Paul, MN",35278
27123042101,"Little Canada, MN",35277
27003051103,"Fridley, MN",35266
27053026814,"Minneapolis, MN",35264
27053024801,"Richfield, MN",35223
27123035300,"Lexington - Hamline South, Saint Paul, MN",35222
27037060503,"Inver Grove Heights, MN",35211
27053020304,"Minneapolis, MN",35177
27053020600,"Minneapolis, MN",35164
27123040902,"Mounds View, MN",35160
27037060201,"South Saint Paul, MN",35152
27053020804,"Becker, Minneapolis, MN",35032
27037060105,"West Saint Paul, MN",34983
27123041302,"Roseville, MN",34981
27003051305,"Columbia Heights, MN",34976
27053020303,"Minneapolis, MN",34919
27037060301,"South Saint Paul, MN",34889
27053023200,"Hopkins, MN",34862
27019090900,"Chaska, MN",34808
27003051002,"Minneapolis, MN",34674
27037060716,"Eagan, MN",34618
27123034900,"Merriam Park, Saint Paul, MN",34598
27053125500,"East Bloomington, Minneapolis, MN",34433
27123042800,"Thomas - Dale, Saint Paul, MN",34427
27123035800,"Saint Paul, MN",34414
27123031100,"Payne - Phalen, Saint Paul, MN",34410
27123033100,"Dayton's Bluff, Saint Paul, MN",34310
27163071300,"Saint Paul Park, MN",34260
27037060402,"South Saint Paul, MN",34213
27003051206,"Fridley, MN",34164
27123031200,"North End, Saint Paul, MN",34158
27123041002,"Mounds View, MN",34158
27123036500,"Macalester - Groveland, Saint Paul, MN",34129
27037060502,"Inver Grove Heights, MN",34105
27053024300,"Richfield, MN",34098
27053024400,"Richfield, MN",33961
27123034701,"Conway, Saint Paul, MN",33877
27053020400,"Brooklyn Center, MN",33827
27003051101,"Fridley, MN",33668
27123032100,"Midway, Saint Paul, MN",33545
27053026403,"Hopkins, MN",33542
27053020200,"Minneapolis, MN",33532
27053025201,"East Bloomington, Bloomington, MN",33488
27019090702,"Chanhassen, MN",33469
27053020801,"Broadway, Minneapolis, MN",33467
27053026811,"Minneapolis, MN",33467
27123037100,"Riverview, Saint Paul, MN",33412
27123030400,"North End, Saint Paul, MN",33343
27053008100,"Calhoun Isles, Minneapolis, MN",33276
27053023400,"Hopkins, MN",33215
27053011000,"Northrop, Minneapolis, MN",33208
27053026818,"Brooklyn Park, MN",33193
27053101200,"Northeast Minneapolis, Minneapolis, MN",33125
27123033000,"Payne - Phalen, Saint Paul, MN",33106
27037060103,"West Saint Paul, MN",33102
27163070910,"Oakdale, MN",32944
27123036800,"West Seventh, Saint Paul, MN",32895
27123037601,"Highland, Saint Paul, MN",32891
27053020302,"Minneapolis, MN",32883
27123034400,"Dayton's Bluff, Saint Paul, MN",32876
27123031801,"Greater East Side, Saint Paul, MN",32864
27123034702,"Conway, Saint Paul, MN",32775
27123033300,"Merriam Park West, Saint Paul, MN",32752
27053026702,"Osseo, MN",32751
27123035900,"West Seventh, Saint Paul, MN",32725
27053021300,"Minneapolis, MN",32556
27053103100,"Northeast Minneapolis, Minneapolis, MN",32500
27123030800,"North End, Saint Paul, MN",32456
27053103600,"Nicollet Island, Minneapolis, MN",32398
27123033200,"South St. Anthony, Saint Paul, MN",32368
27053024902,"Minneapolis, MN",32257
27003051400,"Minneapolis, MN",32238
27037060102,"Saint Paul, MN",32231
27053107600,"Cooper, Minneapolis, MN",32217
27053109700,"Powderhorn, Minneapolis, MN",32189
27123032600,"Thomas - Dale, Saint Paul, MN",32165
27123032700,"Thomas - Dale, Saint Paul, MN",32120
27123036700,"West Seventh, Saint Paul, MN",32105
27053023000,"Brooklawns, Minneapolis, MN",32094
27123035500,"Cathedral Hill, Saint Paul, MN",32072
27053110100,"Powderhorn, Minneapolis, MN",32026
27123032300,"Midway, Saint Paul, MN",32010
27053021502,"New Hope, MN",31984
27123041200,"New Brighton, MN",31951
27123032500,"Thomas - Dale, Saint Paul, MN",31874
27003051201,"Minneapolis, MN",31761
27037060101,"Saint Paul, MN",31755
27053980000,"Saint Paul, MN",31663
27003051102,"Fridley, MN",31582
27123030601,"Payne - Phalen, Saint Paul, MN",31454
27053024802,"Minneapolis, MN",31395
27053106400,"Seward, Minneapolis, MN",31379
27053020301,"Minneapolis, MN",31379
27123042201,"Maplewood, MN",31369
27123033600,"Summit - University, Saint Paul, MN",31338
27123036100,"Concord-Robert, Saint Paul, MN",31321
27053126100,"Central Minneapolis, Minneapolis, MN",31289
27053110500,"Hiawatha, Minneapolis, MN",31266
27053110800,"Southwest Minneapolis, Minneapolis, MN",31204
27053024903,"Richfield, MN",30973
27053107500,"Seward, Minneapolis, MN",30941
27053001700,"Northeast Minneapolis Arts District, Minneapolis, MN",30904
27053103000,"Northeast Minneapolis, Minneapolis, MN",30889
27123034601,"Dayton's Bluff, Saint Paul, MN",30877
27053109900,"Kingfield, Minneapolis, MN",30861
27053102500,"Logan Park, Minneapolis, MN",30772
27123034602,"Saint Paul, MN",30671
27053105500,"Calhoun Isles, Minneapolis, MN",30437
27053108900,"Howe, Minneapolis, MN",30422
27053025100,"East Bloomington, Bloomington, MN",30411
27053106900,"Powderhorn, Minneapolis, MN",30314
27123031500,"Payne - Phalen, Saint Paul, MN",30205
27123032200,"Midway, Saint Paul, MN",30051
27123031702,"Greater East Side, Saint Paul, MN",30037
27123037200,"West Side, Saint Paul, MN",30033
27123032000,"Midway, Saint Paul, MN",29916
27053026810,"Minneapolis, MN",29782
27123030900,"Payne - Phalen, Saint Paul, MN",29768
27053104000,"Como, Minneapolis, MN",29762
27053103400,"Sumner-Glenwood, Minneapolis, MN",29740
27123031701,"Dayton's Bluff, Saint Paul, MN",29688
27053000300,"Victory, Minneapolis, MN",29671
27123031300,"North End, Saint Paul, MN",29628
