"tract","Name","Household_Income_rP_gP_p75"
27053100400,"Webber-Camden, Minneapolis, MN",42069
27053125800,"Midtown Phillips, Minneapolis, MN",41949
27053101900,"Northeast Minneapolis, Minneapolis, MN",41912
27053102500,"Logan Park, Minneapolis, MN",41898
27123033700,"Summit - University, Saint Paul, MN",41380
27123037100,"Riverview, Saint Paul, MN",41237
27123031400,"North End, Saint Paul, MN",41083
27053110900,"Nokomis, Minneapolis, MN",40661
27053002200,"Hawthorne, Minneapolis, MN",40651
27053103100,"Northeast Minneapolis, Minneapolis, MN",40623
27053102600,"Beltrami, Minneapolis, MN",40156
27123031600,"Payne - Phalen, Saint Paul, MN",39571
27053125900,"Phillips, Minneapolis, MN",39535
27053104100,"Harrison, Minneapolis, MN",39301
27123033500,"Summit - University, Saint Paul, MN",39078
27053008500,"Powderhorn, Minneapolis, MN",38960
27123032600,"Thomas - Dale, Saint Paul, MN",37914
27053101300,"Jordan, Minneapolis, MN",37118
27053107000,"Powderhorn, Minneapolis, MN",36600
27053105400,"Central Minneapolis, Minneapolis, MN",36543
27053102100,"Jordan, Minneapolis, MN",36384
27053110000,"Bryant, Minneapolis, MN",36024
27053003300,"Near North, Minneapolis, MN",36022
27053002700,"Willard-Hay, Minneapolis, MN",35536
27053102800,"Willard-Hay, Minneapolis, MN",34636
27123033900,"Summit - University, Saint Paul, MN",34183
27053003200,"Willard-Hay, Minneapolis, MN",33658
27053126000,"Phillips, Minneapolis, MN",33561
27123033800,"Summit - University, Saint Paul, MN",33405
27053005902,"Phillips, Minneapolis, MN",24297
27123980000,"Highwood, Saint Paul, MN",
27053103900,"Marcy-Holmes, Minneapolis, MN",
